app_id,title,release_date,developer,publisher,genres,positive_ratings,negative_ratings,price
514520,Sparky's Hunt,2016-08-18,Luke Cripps,Fellowplayer,Indie,6,3,0.99
1012710,Endzeit,2019-04-03,RockyDev,RockyDev,Action;Early Access,0,1,7.19
279260,Richard & Alice,2014-06-05,Owl Cave,Owl Cave,Adventure;Indie,264,99,4.79
220090,The Journey Down: Chapter One,2013-01-09,SkyGoblin,SkyGoblin,Adventure;Indie,902,129,5.99
788870,In The Long Run The Game,2018-07-02,Zerstoren Games,Zerstoren Games,Action;Adventure;Indie;Simulation;Strategy;Early Access,6,11,7.19
920780,Safe,2018-11-02,GraphXGames,GraphXGames,Indie;Strategy,1,0,2.99
625780,Magic Wand,2017-06-25,thecatamites,harmony corp,Adventure;Indie;RPG,34,2,2.79
339440,Critical Annihilation,2016-02-12,Devoga,Devoga,Action;Indie;Early Access,178,16,4.79
448240,Hybrid Animals,2016-08-29,FamishedMammal,Abstract Software Inc.,Action;Casual;Indie;Simulation,196,134,4.99
838110,HyperParasite,2019-04-03,Troglobytes Games,Troglobytes Games;Hound Picked Games,Action;Adventure;Indie;Early Access,30,1,6.19
444250,Crown and Council,2016-04-22,Mojang,Mojang,Casual;Indie;Strategy,450,268,0.0
752550,Ripped Pants at Work,2018-01-21,Scott Ethington,Scott Ethington,Action;Indie,20,4,2.09
848720,Z.W!,2018-05-15,S. Khasanov,S. Khasanov,Action;Indie,3,1,0.79
925470,Endless Jade Sea -Midori no Umi-,2019-01-23,Cabbit,SakuraGame,Adventure;Indie;RPG,92,16,1.69
832380,Reignman（掌控者）,2018-05-10,Winturn Games,Winturn Games,Adventure;Indie;Strategy,22,6,2.89
517210,Bad Pad,2018-08-08,Headbang Games;Oray Studios,Headbang Games,Action;Indie,23,2,10.29
610360,Zup! Zero,2017-04-06,Quiet River,Quiet River,Casual;Indie,1270,102,0.79
982100,Samozbor: Rebellion,2018-12-08,derevotyan,derevotyan,Casual;Indie,9,2,0.79
642600,Burst Fighter,2017-09-16,Magesoft,Magesoft,Action;Indie,13,0,6.99
498620,The Shadowland,2016-07-17,Bloodcraft Dev,Bloodcraft Dev,Adventure;Indie,19,12,0.79
882260,HellMaze,2018-07-10,wirYe Games,wirYe Games,Adventure;Casual;Indie,1,1,3.99
664560,DreamTank,2017-10-13,Studio229,Studio229,Casual;Indie,3,2,7.19
803720,War Theatre,2019-03-16,Arcade Distillery,Arcade Distillery,RPG;Strategy,6,2,7.19
683830,Weable,2017-08-22,SPECTRUM GAMES,Droid Riot,Action;Casual;Indie,50,9,0.79
699790,Pegasus Door,2017-09-07,Jérémy Pionnier,Gate Zero,Action,2,1,2.79
656740,Cosmonator,2019-01-21,Bourbontank,Bourbontank,Action;Indie;RPG,28,1,5.19
556070,Turret Architect,2016-11-28,Red Matter Studio,Red Matter Studio,Casual;Simulation;Early Access,25,24,0.79
929860,Game Builder,2018-11-01,Area 120,Area 120,Free to Play;Indie;Simulation;Early Access,160,20,0.0
632830,Aztec Venture,2017-06-01,rokaplay,rokaplay,Casual,7,1,6.19
672000,System Goose Overload,2017-08-04,Joseph Calabro,Joseph Calabro,Adventure;Indie;RPG,40,3,0.0
466110,Shaolin vs Wutang,2018-07-26,Jae Lee,Digital Tribe,Action;Casual;Indie,573,38,10.99
1043510,Hotdog Man,2019-03-20,Hot Game,Hot Game,Casual;Indie;Simulation,2,0,0.79
340520,Tallowmere,2015-03-03,Chris McFarland,Chris McFarland,Action;Indie,581,42,2.89
409610,One Final Chaos,2015-10-21,Pusselbit;Sweet Studio Labs,A Sweet Studio,Action;Indie,9,0,3.99
850230,Women's Soccer Manager,2018-07-16,Trophy Games ApS,Trophy Games ApS,Free to Play;Sports;Strategy,43,15,0.0
274940,Depth,2014-11-03,Digital Confectioners,Digital Confectioners,Action;Indie,22385,3472,14.99
568910,Ambition of the Slimes,2018-02-15,altairworks,Flyhigh Works;CIRCLE Entertainment,Indie;RPG;Simulation;Strategy,12,1,3.99
842310,Zimbo,2018-05-04,RS Games,RS Games,Action;Adventure;Casual;Indie;Racing;Simulation;Sports,46,72,0.79
283180,The Samaritan Paradox,2014-04-18,Faravid Interactive,Screen 7,Adventure;Indie,103,34,4.99
817370,Marching Simulator,2018-07-29,Marching Simulator,Marching Simulator,Free to Play;Simulation;Early Access,25,8,0.0
289620,Collapse,2014-04-11,Creoteam,Buka Entertainment,Action;Adventure,342,132,14.99
374240,Eternal Step,2015-10-16,Once More With Gusto,Green Man Gaming Publishing,Action;Adventure;Indie;RPG,30,12,6.99
584990,The Long Reach,2018-03-14,Painted Black Games,Merge Games,Violent;Gore;Action;Adventure;Indie,129,18,12.99
860090,Erotic Jigsaw Challenge Vol. 1,2018-06-02,BarelyEntertainment,BarelyEntertainment,Sexual Content;Nudity;Casual;Indie;Simulation,17,4,0.79
636100,Tesla vs Lovecraft,2018-01-26,10tons Ltd,10tons Ltd,Action;Indie;RPG,409,52,10.99
543740,Medieval Story,2017-08-04,OddGames,OddGames,Violent;Gore;Action;Adventure;Indie,2,2,9.99
525860,Garden Wars,2016-11-09,Morepork Games,Morepork Games,Casual;Indie;Strategy,2,0,3.99
806180,Beyond The Heavens,2018-07-02,Zane Games,Zane Games,Action;Indie,1,1,2.09
751740,Roller Coaster Egypt VR,2018-03-21,NetDinamica,NetDinamica,Action;Adventure;Indie;Simulation,0,3,1.69
476460,Picross Touch,2016-08-24,Jon Gallant,jgallant,Casual;Free to Play;Indie;Strategy,576,54,0.0
385380,Planet Centauri,2016-06-03,Permadeath,Permadeath,Action;Adventure;Indie;RPG;Early Access,947,213,11.99
1022010,Oliver's Adventures in the Fairyland,2019-02-18,LuchinVladimir,IndieMax,Action;Adventure;Indie,18,2,3.99
813590,Solas and the White Winter,2018-04-13,Savepoint Studios,Savepoint Studios,Adventure;Indie,14,7,7.19
397160,Aurora Dusk: Steam Age,2019-03-08,Sylvain Harlaut,Sylvain Harlaut,Indie;RPG;Strategy,148,29,6.99
738920,Sexy Serial Killer,2018-01-29,Disturbing Excitement,Disturbing Excitement,Nudity;Violent;Gore;Action;Adventure,37,36,2.09
517990,City VR,2016-09-26,"Amber Garage, Inc.","Amber Garage, Inc.",Simulation;Early Access,8,6,10.99
387890,Radial Impact,2015-08-03,Devin Sherry,Devin Sherry,Casual;Indie,0,7,0.79
600990,The Gardens Between,2018-09-19,The Voxel Agents,The Voxel Agents,Adventure;Indie,252,17,15.49
554280,Time Carnage VR,2018-04-10,Wales Interactive,Wales Interactive,Violent;Action;Indie,40,10,14.99
635670,EMPORIUM,2017-05-17,Tom Kitchen,Tom Kitchen,Gore;Adventure;Casual;Indie,79,32,1.59
1019150,Apolune,2019-02-06,Lost Astronaut Studios,Lost Astronaut Studios,Action;Casual;Indie,1,0,5.19
246920,Bombernauts,2017-12-29,Eyebrow Interactive,Eyebrow Interactive,Action;Indie,113,10,6.99
790600,Stormbound,2018-05-15,Paladin Studios,Kongregate,Free to Play;Strategy,263,127,0.0
880830,Cavesweeper,2018-07-04,Stylus Software,Stylus Software,Adventure;Casual;Indie;Strategy,14,0,1.99
527250,VilleTown,2016-09-23,Laugical Games,Laugical Games,Indie;Simulation;Strategy,13,2,3.99
528770,Twixel,2016-11-18,Caesoose Studios,Self Published,Action,13,2,1.69
981550,GACHIMUCHI M♂NLY PUZZLE,2018-12-13,M♂NLY,M♂NLY,Casual;Indie;Simulation;Strategy,39,5,0.9
896160,Evil Bank Manager,2018-12-07,Hamsters Gaming,Hamsters Gaming,Indie;Simulation;Strategy,493,139,9.29
759530,Struckd - 3D Game Creator,2018-02-02,Struckd AG,Struckd AG,Action;Adventure;Casual;Racing;RPG;Early Access,132,79,0.0
873850,PASSAGE,2018-11-14,Magic Time Software,Magic Time Software,Action;Adventure;Indie,1,3,4.79
258590,Adventure Time: Finn and Jake's Epic Quest,2014-04-11,NGD Studios,Cartoon Network Games,Action;Adventure,318,107,6.99
890920,Glitch,2018-07-18,Ekrcoaster,Ekrcoaster,Adventure;Casual;Free to Play;Indie;Strategy,152,150,0.0
653770,The First Time I Died,2017-07-05,Ryan Stephen,Ryan Stephen,Adventure;Indie;RPG,2,0,1.59
550650,Black Squad,2017-07-28,NS STUDIO,NS STUDIO,Action;Free to Play;Early Access,33695,11081,0.0
464340,Syberia 3,2017-11-13,Microids,Microids,Adventure,800,822,23.79
329630,Command HQ,2014-11-06,Ozark Softscape,Retroism;Nightdive Studios,Strategy,32,1,4.99
386390,Dad Beat Dads,2015-10-19,Stellar Jay Studios,Stellar Jay Studios,Action,6,0,4.79
303290,OZMAFIA!!,2016-04-29,Poni-Pachet SY,MangaGamer,Adventure,295,40,26.99
443940,Unknown Battle,2016-03-14,Nikolai Patrakov,RenPen,Action;Adventure;Indie,186,429,2.79
895650,Save The Cookie,2018-10-30,Chota Games Studio,Chota Games Studio,Action;Casual;Indie,6,1,0.79
921060,Modern Combat 5,2018-10-24,Gameloft,Gameloft,Action;Free to Play;Massively Multiplayer,589,774,0.0
290300,Rebel Galaxy,2015-10-20,Double Damage Games,Double Damage Games,Action;Adventure;Indie;RPG;Simulation,5100,881,14.99
507030,Bicyclism EP,2016-11-14,Acid Cat,Acid Cat,Action;Indie;Racing;Simulation;Sports,13,6,5.79
