id,developer
1000002,Josef Kates
1000004,Christopher Strachey
1000005,"Alexander Shafto ""Sandy"" Douglas"
1000005,University of Warwick
1000007,William Higinbotham
1000009,Steve Russel
1000009,"Computer Recreations, Inc."
1000010,Mabel Addis
1000011,Namco
1000011,Sega
1000013,Creative Computing Software
1000015,Miso Ramen Group
1000015,Hudson Soft
1000016,Magnavox
1000017,Jim Storer
1000021,Chris Gaylo
1000022,John Horton Conway
1000022,Scientific American
1000023,Mike Mayfield
1000024,"Computer Recreations, Inc."
1000025,Atari
1000025,Nutting Associates
1000026,MECC
1000028,Gremlin Industries
1000029,Magnavox
1000031,Magnavox
1000032,Magnavox
1000033,Magnavox
1000034,Magnavox
1000035,Magnavox
1000036,Magnavox
1000037,Magnavox
1000038,Magnavox
1000039,Magnavox
1000040,Magnavox
1000041,Magnavox
1000042,Fairchild Semiconductor
1000042,"Atari, Inc."
1000043,Magnavox
1000044,Magnavox
1000045,Peter Langston
1000046,Magnavox
1000047,"Sega Enterprises, Ltd."
1000047,Sega
1000048,Magnavox
1000049,Digital Equipment Corporation
1000049,Jack Burness
1000050,Allied Leisure Industries
1000051,RamTeK
1000054,Atari
1000054,Midway Manufacturing
1000056,Atari
1000056,Taito
1000057,Allied Leisure Industries
1000058,Namco
1000058,Atari
1000059,"Sega Enterprises, Ltd."
1000059,Sega
1000060,Midway Manufacturing
1000061,Atari
1000063,Atari
1000064,Taito
1000065,Atari
1000065,Taito
1000066,Taito
1000067,RamTeK
1000068,Allied Leisure Industries
1000069,"Sega Enterprises, Ltd."
1000069,Sega
1000070,Atari
1000070,Midway Manufacturing
1000071,Midway Manufacturing
1000071,RamTeK
1000073,"Sega Enterprises, Ltd."
1000073,Sega
1000075,Magnavox
1000076,Magnavox
1000077,MECC
1000078,Magnavox
1000079,Magnavox
1000080,Magnavox
1000081,People's Computer Company
1000082,Atari
1000083,Atari
1000084,Atari
1000084,Kee Games
1000086,Atari
1000087,Kee Games
1000087,Atari
1000088,Atari
1000089,Taito
1000089,Midway Manufacturing
1000090,Atari
1000091,RamTeK
1000092,Atari
1000093,Atari
1000094,Atari
1000095,Taito
1000096,Atari
1000096,Kee Games
1000097,Midway Manufacturing
1000098,Peter Langston
1000099,Midway Manufacturing
1000100,Taito
1000101,"Sega Enterprises, Ltd."
1000101,Sega
1000102,Exidy
1000103,Nintendo
1000104,Midway Manufacturing
1000104,Chicago Coin
1000105,RamTeK
1000106,Atari Inc.
1000107,RamTeK
1000108,"Sega Enterprises, Ltd."
1000108,Sega
1000109,Atari
1000109,Kee Games
1000110,Electra Games
1000111,Kee Games
1000111,Atari
1000112,Atari
1000113,Electra Games
1000114,Allied Leisure Industries
1000115,Chicago Coin
1000116,Meadows Games
1000117,Atari
1000118,Taito
1000119,Atari
1000120,Reginald Rutherford
1000121,Sears
1000121,Atari
1000122,Namco
1000122,Atari
1000123,Atari
1000124,Fun Games
1000125,US Billiards
1000126,Project Support Engineering
1000127,Taito
1000127,Midway
1000128,"Sega Enterprises, Ltd."
1000128,Sega
1000129,Atari
1000129,"Atari, Inc."
1000130,Taito Corporation
1000130,Electra Games
1000131,Ray Wood
1000132,Exidy
1000133,Paul Resch
1000134,Midway Manufacturing
1000135,Midway Manufacturing
1000135,Taito Corporation
1000136,Exidy
1000136,Chicago Coin
1000137,Allied Leisure Industries
1000138,Atari
1000138,Sears
1000139,"Sega Enterprises, Ltd."
1000139,Sega
1000140,Atari
1000141,Taito
1000143,Kevet Duncombe
1000144,Dave Nutting Associates
1000144,Midway Manufacturing
1000145,Kevet Duncombe
1000146,Atari
1000146,Kee Games
1000147,Exidy
1000148,Taito
1000149,Fun Games
1000150,Namco
1000150,Atari
1000151,Meadows Games
1000152,Micro Games
1000153,Atari
1000154,Atari
1000155,Taito
1000155,Dave Nutting Associates
1000156,Meadows Games
1000157,Taito
1000158,"Sega Enterprises, Ltd."
1000158,Sega
1000159,"Sega Enterprises, Ltd."
1000159,Sega
1000160,Atari
1000161,Kee Games
1000161,Atari
1000162,Exidy
1000163,Taito
1000164,Meadows Games
1000165,Midway Manufacturing
1000165,Dave Nutting Associates
1000166,Electra Games
1000167,Gremlin Industries
1000167,Taito
1000168,"Sega Enterprises, Ltd."
1000168,Sega
1000169,Atari
1000169,Sears
1000170,US Billiards
1000171,Midway Manufacturing
1000171,Dave Nutting Associates
1000172,Namco
1000172,Kee Games
1000173,Fairchild Semiconductor
1000174,Atari
1000175,Project Support Engineering
1000176,Fairchild Semiconductor
1000177,RamTeK
1000178,General Instrument Microelectronic
1000179,RamTeK
1000180,General Instrument Microelectronic
1000181,Fairchild Semiconductor
1000182,Project Support Engineering
1000183,General Instrument Microelectronic
1000184,Innovative Coin Corporation
1000184,Micro Amusements Inc.
1000185,General Instrument Microelectronic
1000186,RamTeK
1000187,Atari
1000188,Taito
1000189,Atari
1000190,Fairchild Semiconductor
1000191,RamTeK
1000192,Fairchild Semiconductor
1000193,Fairchild Semiconductor
1000194,Fairchild Semiconductor
1000195,Midway Manufacturing
1000195,Taito
1000196,Taito
1000197,"Sega Enterprises, Ltd."
1000197,Sega
1000198,Williams Electronics
1000198,Taito
1000199,Taito
1000199,Gremlin Industries
1000200,Atari
